Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
J.J. Hickson,534,9.5,6.8,0.8,50.5,0.0,61.7,50.5,16.1,21.9
Johnny High,274,5.1,2.3,1.9,43.5,10.5,61.9,43.7,9.4,4.7
Jordan Hill,409,7.9,5.8,0.8,49.7,13.6,69.9,49.7,16.3,16.4
Jaylen Hoard,32,4.8,3.0,0.9,49.2,0.0,66.7,49.2,13.7,0.7
Julius Hodge,23,1.2,0.7,0.8,44.0,-,50.0,44.0,10.7,0.0
Jrue Holiday,772,16.0,4.0,6.4,45.7,35.8,77.8,50.5,17.1,49.5
Justin Holiday,502,8.5,3.0,1.5,39.9,36.4,82.1,50.7,10.9,15.4
Joe Holland,186,5.8,4.2,1.8,33.1,null,62.1,null,11.5,1.9
John Holland,25,2.2,1.0,0.2,28.8,30.6,69.2,38.1,5.9,-0.2
Jim Holstein,225,3.8,2.9,1.1,32.3,null,64.7,null,8.4,2.5
Joe Holup,192,7.0,4.4,1.0,34.2,null,78.1,null,11.3,4.2
Jerald Honeycutt,54,5.1,1.9,0.7,39.1,36.2,63.2,45.8,10.6,0.3
Johnny Horan,19,1.8,0.5,0.1,28.6,null,90.9,null,1.9,-0.1
Jeff Hornacek,1077,14.5,3.4,4.9,49.6,40.3,87.7,53.0,17.7,108.9
Josh Howard,507,14.3,5.7,1.6,44.8,33.2,77.0,47.6,16.7,38.0
Juwan Howard,1208,13.4,6.1,2.2,46.9,12.0,76.4,46.9,14.6,59.4
Josh Huestis,76,2.5,2.4,0.3,34.6,31.2,24.0,44.1,6.0,0.7
John Hummer,327,6.9,5.3,1.7,43.8,null,52.4,null,10.2,4.8
Jay Humphries,788,11.1,2.5,5.5,47.6,29.7,78.2,49.1,13.9,45.0
Joe Hutton,120,2.5,1.6,1.0,33.1,null,69.0,null,8.0,2.2
Joe Ingles,545,8.8,3.3,3.8,45.3,41.4,76.7,58.6,12.9,34.9
Jonathan Isaac,136,9.3,5.4,1.1,43.5,33.0,79.7,49.6,13.7,6.7
Jarrett Jack,867,10.8,2.9,4.6,44.0,34.3,85.5,48.0,14.1,36.8
Jaren Jackson,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
Jaren Jackson Jr.,126,15.4,4.7,1.2,48.0,37.4,76.5,55.2,16.4,7.5
Jermaine Jackson,135,1.9,1.1,1.4,40.1,15.8,71.1,40.8,8.8,1.0
Jim Jackson,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8
Josh Jackson,240,12.3,4.2,2.0,41.8,29.8,67.6,46.1,11.6,-1.7
Justin Jackson,248,6.6,2.5,1.1,42.7,32.1,79.7,50.5,10.1,5.3
Jerome James,358,4.3,3.1,0.3,48.5,0.0,61.7,48.5,10.6,2.9
Justin James,72,3.2,0.9,0.6,44.6,34.3,54.4,50.5,11.2,0.3
John Janisch,70,10.5,-,0.7,28.8,null,65.4,null,-,6.0
Jim Jarvis,125,5.8,1.9,1.2,37.4,32.6,80.3,39.5,10.2,0.9
Jared Jeffries,629,4.8,4.1,1.3,42.6,25.0,58.3,44.0,9.6,13.1
John Jenkins,171,5.0,1.5,0.8,44.1,36.7,84.7,52.4,11.7,3.0
Jonas Jerebko,635,6.2,4.0,0.8,45.7,36.3,77.0,52.0,13.2,25.8
JaJuan Johnson,36,3.2,1.6,0.2,44.6,-,66.7,44.6,11.4,0.2
James Johnson,685,7.9,3.6,2.1,47.5,30.4,68.6,51.4,14.3,25.8
Joe Johnson,1276,16.0,4.0,3.9,44.1,37.1,80.2,49.7,15.4,82.8
John Johnson,869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1
Jim Johnstone,23,1.3,2.0,0.5,36.7,-,45.0,36.7,4.5,-0.1
Jake Jones,17,4.5,1.5,0.7,38.9,null,64.5,null,8.6,0.0
Jalen Jones,32,4.8,2.3,0.3,40.0,37.0,67.4,47.7,11.0,0.4
James Jones,709,5.2,1.8,0.5,40.1,40.1,84.0,53.0,11.3,25.2
Jemerrio Jones,6,4.5,8.2,2.2,36.4,20.0,50.0,39.4,12.1,0.2
Jimmy Jones,686,16.6,4.3,4.5,50.9,25.0,78.5,51.0,17.1,78.8
Johnny Jones,80,5.2,2.9,0.8,35.8,0.0,59.7,35.8,10.5,-0.6
Jumaine Jones,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1
Jerome Jordan,65,2.8,2.0,0.3,52.8,-,85.2,52.8,17.1,1.7
Johnny Jorgensen,51,2.3,-,0.6,36.6,null,73.5,null,-,1.3
Jeff Judkins,272,5.4,1.6,1.0,47.8,31.5,81.2,48.7,12.9,6.3
Jason Kapono,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
Jerry Kelly,46,5.7,-,0.5,29.1,null,66.1,null,-,2.4
Joe Kennedy,168,5.7,3.6,0.8,37.6,0.0,80.4,37.6,9.3,0.2
Jonathan Kerner,1,0.0,0.0,0.0,0.0,-,-,0.0,-15.2,0.0
Jack Kerris,271,7.6,6.3,2.5,36.3,null,66.2,null,14.6,17.8
Jerome Kersey,1153,10.3,5.5,1.9,46.5,20.1,69.0,46.7,14.9,69.5
Julius Keye,418,7.6,11.0,1.6,41.8,18.2,62.3,41.8,10.8,17.8
Jason Kidd,1391,12.6,6.3,8.7,40.0,34.9,78.5,46.4,17.9,138.6
Jack Kiley,53,2.3,1.0,1.2,22.7,null,57.1,null,3.4,-1.8
Jim King,607,7.2,2.5,2.3,41.8,null,78.2,null,11.8,17.7
Jimmy King,64,4.5,1.8,1.4,42.9,14.7,69.1,43.9,10.0,0.0
Jim Kissane,2,3.0,1.5,0.0,33.3,-,100.0,33.3,5.9,0.0
Joe Kleine,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
Jon Koncak,784,4.5,4.9,1.0,47.0,22.6,59.7,47.3,9.8,29.2
John Konchar,62,3.8,2.8,1.1,53.1,39.4,81.3,60.6,15.6,2.4
Joe Kopicki,118,3.7,2.7,0.7,49.3,27.3,81.2,49.8,14.2,3.5
Joel Kramer,328,3.8,2.8,1.0,47.9,0.0,73.7,47.9,10.8,9.1
Jim Krebs,515,8.0,6.2,0.8,40.5,null,75.5,null,11.5,12.4
John Kuester,135,3.3,1.0,2.3,42.7,0.0,83.3,42.7,11.4,2.0
Jeremy Lamb,517,10.4,3.7,1.6,44.4,34.4,85.8,50.4,15.8,25.5
John Lambert,446,3.8,3.3,0.6,42.8,8.3,69.3,42.8,10.4,6.9
Jeff Lamp,291,5.1,1.5,0.9,47.0,22.2,84.1,47.4,11.5,5.2
Jim Lampley,1,3.0,5.0,0.0,33.3,-,50.0,33.3,8.3,0.0
Jerome Lane,218,5.3,5.8,1.5,44.1,6.3,37.9,44.2,12.6,2.3
James Lang,11,1.0,1.0,0.2,44.4,-,60.0,44.4,6.6,0.1
John Laskowski,118,7.1,2.4,0.8,39.8,null,76.0,null,10.9,2.0
Joffrey Lauvergne,208,5.6,3.8,0.9,47.9,28.5,71.9,50.4,14.3,5.2
Jason Lawson,17,1.5,1.6,0.3,60.0,-,80.0,60.0,21.5,0.5
Jake Layman,209,5.2,1.8,0.6,46.4,30.6,71.9,53.0,11.2,3.7
Jeff Lebo,4,1.5,1.0,0.8,28.6,-,100.0,28.6,5.8,0.0
Jalen Lecque,9,1.7,0.8,0.4,26.3,0.0,100.0,26.3,3.2,-0.1
Jim Les,321,3.8,1.2,2.9,39.7,39.6,81.8,50.1,12.4,8.1
Jon Leuer,377,6.4,3.8,0.8,48.4,32.8,76.7,51.5,14.5,13.2
Jeremy Lin,480,11.6,2.8,4.3,43.3,34.2,80.9,48.5,15.3,23.5
John Logan,258,12.4,4.5,3.0,31.2,null,76.7,null,-,27.8
John Long,893,13.6,2.8,1.9,46.7,32.2,86.2,47.2,14.2,32.0
Jim Loscutoff,511,6.2,5.6,0.7,34.5,null,65.3,null,8.3,3.4
Jordan Loyd,12,2.4,0.8,0.5,44.4,50.0,81.8,55.6,16.3,0.2
Jerry Lucas,829,17.0,15.6,3.3,49.9,null,78.3,null,18.9,98.4
John Lucas,928,10.7,2.3,7.0,44.9,30.3,77.6,46.3,15.9,53.7
John Lucas III,242,4.7,1.0,1.5,38.3,34.4,76.8,45.2,11.8,3.4
Jim Luisi,31,2.9,0.8,1.1,32.6,null,65.9,null,7.7,0.0
Johnny Macknowski,117,7.0,1.9,1.1,31.7,null,72.7,null,-,2.7
J.P. Macura,3,2.0,1.0,0.7,33.3,0.0,-,33.3,5.4,0.0
Jack Maddox,1,0.0,-,1.0,-,null,-,null,-,0.0
Josh Magette,26,2.2,1.0,2.4,32.8,34.6,90.0,40.2,10.9,0.3
Jamaal Magloire,680,7.2,6.5,0.6,48.0,0.0,63.9,48.0,13.5,27.7
John Mahnken,414,5.8,2.9,1.3,27.2,null,65.0,null,10.1,1.2
Jeff Malone,905,19.0,2.6,2.4,48.4,26.8,87.1,48.7,15.2,54.2
John Mandic,81,4.1,-,1.1,31.6,null,66.0,null,-,2.4
Jack Marin,849,14.8,5.2,2.1,46.5,null,84.3,null,15.2,59.3
Jim Marsh,39,3.1,2.2,0.8,33.3,null,69.5,null,8.6,-0.3
Jarell Martin,184,5.4,3.5,0.6,43.4,34.6,76.6,47.0,10.5,3.2
Jeff Martin,143,6.7,2.0,0.8,41.7,28.2,69.4,43.3,9.3,2.1
Jeremiah Martin,18,4.8,0.9,1.2,38.4,26.7,63.2,43.0,13.0,0.0
Jamal Mashburn,611,19.1,5.4,4.0,41.8,34.5,76.6,45.6,15.7,43.7
Johnny Mathis,51,3.4,3.8,0.5,37.1,0.0,63.6,37.1,7.3,0.3
Jason Maxiell,618,5.6,4.2,0.4,49.5,0.0,56.4,49.5,13.0,20.3
James Michael McAdoo,111,3.0,1.7,0.3,52.8,29.4,53.4,53.8,14.6,2.4
Johnny McCarthy,316,7.8,3.6,3.7,35.3,null,62.2,null,8.8,4.7
Jack McCloskey,1,6.0,3.0,1.0,33.3,null,-,null,7.8,0.0
John McConathy,11,1.3,1.8,0.7,13.8,null,42.9,null,1.7,-0.5
Jelani McCoy,260,4.6,3.5,0.5,53.9,-,49.0,53.9,12.6,5.1
John McCullough,8,2.6,0.5,0.4,69.2,-,60.0,69.2,30.7,0.1
Jaden McDaniels,63,6.8,3.7,1.1,44.7,36.4,60.0,54.5,8.9,1.4
Jalen McDaniels,63,6.9,3.7,1.0,46.9,34.1,72.8,53.1,11.2,1.6
Jim McDaniels,271,10.0,6.5,1.1,46.6,-,72.0,46.6,16.8,9.1
Jim McElroy,418,9.9,2.0,3.5,46.8,20.6,76.4,46.9,12.9,14.0
JaVale McGee,747,7.8,5.2,0.4,57.1,17.5,59.5,57.2,19.4,37.5
Jon McGlocklin,792,11.6,2.4,2.9,48.9,null,84.5,null,13.6,47.1
Jim McIlvaine,401,2.7,3.1,0.3,44.6,10.0,55.1,44.7,10.0,9.4
Jeff McInnis,576,9.4,2.0,4.4,43.1,32.8,79.6,46.1,12.6,23.1
Jerry McKee,1,0.0,0.0,0.0,0.0,-,-,0.0,-29.8,0.0
Jordan McLaughlin,81,6.0,1.9,3.9,44.5,36.9,71.0,51.9,13.7,2.8
Jack McMahon,524,8.1,2.7,3.7,33.7,null,63.7,null,9.5,6.2
Jim McMillian,631,13.8,5.3,2.5,48.2,null,83.2,null,13.9,46.0
Joe McNamee,118,2.4,2.0,0.5,29.8,null,62.0,null,-,-0.5
Jerel McNeal,6,1.5,0.5,0.3,27.3,50.0,100.0,31.8,1.2,-0.1
Jordan McRae,123,6.9,1.8,1.4,41.7,35.5,77.2,47.4,13.2,1.7
Josh McRoberts,433,5.4,3.9,2.1,46.3,34.0,70.5,51.3,13.2,18.5
Jodie Meeks,539,9.3,2.1,1.1,42.0,37.3,87.9,51.7,12.8,24.3
